Name	Aura	Caster Level	Slot	Price	Weight	Description	Construction
Headband of Vast Intelligence	moderate transmutation	8th	headband	4,000 gp (+2), 16,000 gp (+4), 36,000 gp (+6)	1 lb	This intricate gold headband is decorated with several small blue and deep purple gemstones. The headband grants the wearer an enhancement bonus to Intelligence of +2, +4, or +6. Treat this as a temporary ability bonus for the first 24 hours the headband is worn. A headband of vast intelligence has one skill associated with it per +2 bonus it grants. After being worn for 24 hours, the headband grants a number of skill ranks in those skills equal to the wearer's total Hit Dice. These ranks do not stack with the ranks a creature already possesses. These skills are chosen when the headband is created. If no skill is listed, the headband is assumed to grant skill ranks in randomly determined Knowledge skills.	Craft Wondrous Item, fox's cunning; Cost 2,000 gp (+2), 8,000 gp (+4), 18,000 gp (+6)
Helm of Brilliance	strong varied	13th	head	125,000 gp	3 lbs	This normal-looking helm takes its true form and manifests its powers when the user dons it and speaks the command word. Made of brilliant silver and polished steel, a newly created helm is set with large magic gems: 10 diamonds, 20 rubies, 30 fire opals, and 40 opals. When struck by bright light, the helm scintillates and sends forth reflective rays in all directions from its crown-like, gem-tipped spikes. The jewels' functions are as follows:  Diamond: Prismatic spray (save DC 20) Ruby: Wall of fire Fire opal: Fireball (10d6, Reflex DC 20 half) Opal: Daylight The helm may be used once per round, but each gem can perform its spell-like power just once. Until all its jewels are depleted, a helm of brilliance also has the following magical properties when activated.  It emanates a bluish light when undead are within 30 feet. This light causes 1d6 points of damage per round to all such creatures within that range. The wearer may command any weapon he wields to become a flaming weapon. This is in addition to whatever abilities the weapon may already have (unless the weapon already is a flaming weapon). The command takes 1 round to take effect. The helm provides fire resistance 30. This protection does not stack with similar protection from other sources. Once all its jewels have lost their magic, the helm loses its powers and the gems turn to worthless powder. Removing a jewel destroys it.  If a creature wearing the helm is damaged by magical fire (after the fire protection is taken into account) and fails an additional DC 15 Will save, the remaining gems on the helm overload and detonate. Remaining diamonds become prismatic sprays that each randomly target a creature within range (possibly the wearer), rubies become straight-line walls of fire extending outward in a random direction from the helm wearer, and fire opals become fireballs centered on the helm wearer. The opals and the helm itself are destroyed.	Craft Wondrous Item, detect undead, fireball, flame blade, daylight, prismatic spray, protection from energy, wall of fire; Cost 62,500 gp
Helm of Comprehend Languages and Read Magic	faint divination	4th	head	5,200 gp	3 lbs	Appearing as a normal helmet, a helm of comprehend languages and read magic grants its wearer the ability to understand the spoken words of any creature and to read text in any language and any magical writing. The wearer gains a +5 competence bonus on Linguistics checks to understand messages written in incomplete, archaic, or exotic forms. Note that understanding a magical text does not necessarily imply spell use	Craft Wondrous Item, comprehend languages, read magic; Cost 2,600 gp
Helm of Telepathy	faint divination and enchantment	5th	head	27,000 gp	3 lbs	This pale metal or ivory helm covers much of the head when worn. The wearer can use detect thoughts at will. Furthermore, he can send a telepathic message to anyone whose surface thoughts he is reading (allowing two-way communication). Once per day, the wearer of the helm can implant asuggestion (as the spell, Will DC 14 negates) along with his telepathic message	Craft Wondrous Item, detect thoughts, suggestion; Cost 13,500 gp
Helm of Teleportation	moderate conjuration	9th	head	73,500 gp	3 lbs	A character wearing this device may teleport three times per day, exactly as if he had cast the spell of the same name.	Craft Wondrous Item, teleport; Cost 36,750 gp
Helm of Underwater Action	faint transmutation	5th	head	24,000 gp	3 lbs	The wearer of this helmet can see underwater. Drawing the small lenses in compartments on either side into position before the wearer's eyes activates the visual properties of the helm, allowing her to see five times farther than water and light conditions would allow for normal human vision. (Weeds, obstructions, and the like block vision in the usual manner.) If the command word is spoken, the helm of underwater action gives the wearer a 30-foot swim speed and creates a globe of air around the wearer's head and maintains it until the command word is spoken again, enabling her to breathe freely.	Craft Wondrous Item, water breathing; Cost 12,000 gp
Horn of Blasting	moderate evocation	7th	-	20,000 gp	1 lb	This horn appears to be a normal trumpet. It can be sounded as a normal horn, but if the command word is spoken and the instrument is then played, it deals 5d6 points of sonic damage to creatures within a 40-foot cone and causes them to be deafened for 2d6 rounds (a DC 16 Fortitude save reduces the damage by half and negates the deafening). Crystalline objects and creatures take 7d6 points of sonic damage, with no save unless they're held, worn, or carried by creatures (Fortitude DC 16 negates).  If a horn of blasting is used magically more than once in a given day, there is a 20% cumulative chance with each extra use that it explodes and deals 10d6 points of sonic damage to the person sounding it.	Craft Wondrous Item, shout; Cost 10,000 gp
Horn of Blasting, Greater	strong evocation	16th	-	70,000 gp	1 lb	This horn functions as a horn of blasting, except that it deals 10d6 points of sonic damage, stuns creatures for 1 round, and deafens them for 4d6 rounds (a DC 19 Fortitude reduces the damage by half and negates the stunning and deafening). Crystalline objects take 16d6 points of sonic damage as described for the horn of blasting. A greater horn of blasting also has a 20% cumulative chance of exploding for each usage beyond the first each day.	Craft Wondrous Item, greater shout; Cost 35,000 gp
Horn of Fog	faint conjuration	3rd	-	2,000 gp	1 lb	This small bugle allows its possessor to blow forth a thick cloud of heavy fog similar to that of an obscuring mist spell. The fog covers a 10-foot square next to the horn blower each round that the user continues to blow the horn; a fog cloud travels 10 feet each round in a straight line from the emanation point unless blocked by something substantial such as a wall. The device makes a deep, foghorn-like noise, with the note dropping abruptly to a lower register at the end of each blast. The fog dissipates after 3 minutes. A moderate wind (11+ mph) disperses the fog in 4 rounds; a strong wind (21+ mph) disperses the fog in 1 round.	Craft Wondrous Item, obscuring mist; Cost 1,000 gp
Horn of Goodness/Evil	moderate abjuration	6th	-	6,500 gp	1 lb	This trumpet adapts itself to its owner, so it produces either a good or an evil effect depending on the owner's alignment. If the owner is neither good nor evil, the horn has no power whatsoever. If he is good, then blowing the horn has the effect of a magic circle against evil. If he is evil, then blowing the horn has the effect of a magic circle against good. In either case, this ward lasts for 1 hour. The horn can be blown once per day	Craft Wondrous Item, magic circle against good, magic circle against evil; Cost 3,250 gp
Horn of Valhalla	strong conjuration	13th	-	50,000 gp	2 lb	This magic instrument comes in four varieties. Each appears to be normal until someone speaks its command word and blows the horn. Then the horn summons a number of human barbarians to fight for the character who summoned them. Each horn can be blown just once every 7 days. Roll d% and refer to the table above to see what type of horn is found. The horn's type determines what barbarians are summoned and what prerequisite is needed to use the horn. Any character who uses a horn of Valhalla but doesn't have the prerequisite is attacked by the barbarians she herself summoned.  Horn of Valhalla d%        Type of Horn         Barbarians Summoned        Prerequisite 01–40        Silver        2d4+2, 2nd-level        None 41–75        Brass        2d4+1, 3rd-level        Spellcaster level 1st 76–90        Bronze        2d4, 4th-level        Proficiency with all martial weapons or bardic performance ability 91–100        Iron        1d4+1, 5th-level        Proficiency with all martial weapons or bardic performance ability Summoned barbarians are constructs, not actual people (though they seem to be); they arrive with the starting equipment for barbarians. They attack anyone the possessor of the horn commands them to fight until they or their opponents are slain or until 1 hour has elapsed, whichever comes first.	Craft Wondrous Item, summon monster VI; Cost 25,000 gp
Horseshoes of Speed	faint transmutation	3rd	feet	3,000 gp	12 lbs. (for four)	These iron shoes come in sets of four like ordinary horseshoes. When affixed to an animal's hooves, they increase the animal's base land speed by 30 feet; this counts as an enhancement bonus. As with other effects that increase speed, jumping distances increase proportionally (see Using Skills). All four shoes must be worn by the same animal for the magic to be effective.	Craft Wondrous Item, haste; Cost 1,500 gp
Horseshoes of a Zephyr	faint transmutation	3rd	feet	6,000 gp	4 lbs. (for four)	These four iron shoes are affixed like normal horseshoes. They allow a horse to travel without actually touching the ground. The horse must still run above (always around 4 inches above) a roughly horizontal surface. This means that non-solid or unstable surfaces can be crossed, and that movement is possible without leaving tracks on any sort of ground. The horse moves at its normal base land speed. All four shoes must be worn by the same animal for the magic to be effective.	Craft Wondrous Item, levitate; Cost 3,000 gp
Incense of Meditation	moderate enchantment	7th	-	4,900 gp	1 lb	This small rectangular block of sweet-smelling incense is visually indistinguishable from nonmagical incense until lit. When it is burned, the special fragrance and pearly hued smoke of this special incense are recognizable by anyone making a DC 15 Spellcraft check.  When a divine spellcaster lights a block of incense of meditation and then spends 8 hours praying and meditating nearby, the incense enables him to prepare all his spells as though affected by the Maximize Spell feat. However, all the spells prepared in this way are at their normal level, not at three levels higher (as with the regular metamagic feat).  Each block of incense burns for 8 hours, and the effects persist for 24 hours.	Craft Wondrous Item, Maximize Spell, bless; Cost 2,450 gp
Instant Fortress	strong conjuration	13th	-	55,000 gp	1 lb	This metal cube is small, but when activated by speaking a command word it grows to form a tower 20 feet square and 30 feet high, with arrow slits on all sides and a crenellated battlement atop it. The metal walls extend 10 feet into the ground, rooting it to the spot and preventing it from being tipped over. The fortress has a small door that opens only at the command of the owner of the fortress—even knock spells can't open the door.  The adamantine walls of an instant fortress have 100 hit points and hardness 20. The fortress cannot be repaired except by a wish or a miracle, which restores 50 points of damage taken.  The fortress springs up in just 1 round, with the door facing the device's owner. The door opens and closes instantly at his command. People and creatures nearby (except the owner) must be careful not to be caught by the fortress's sudden growth. Anyone so caught takes 10d10 points of damage (Reflex DC 19 half).  The fortress is deactivated by speaking a command word (different from the one used to activate it). It cannot be deactivated unless it is empty.	Craft Wondrous Item, mage's magnificent mansion; Cost 27,500 gp
Ioun Stones	strong varied	12th	-	Varies	-	These crystalline stones always float in the air and must be within 3 feet of their owner to be of any use. When a character first acquires a stone, she must hold it and then release it, whereupon it takes up a circling orbit 1d3 feet from her head. Thereafter, a stone must be grasped or netted to separate it from its owner. The owner may voluntarily seize and stow a stone (to keep it safe while she is sleeping, for example), but she loses the benefits of the stone during that time. Ioun stones have AC 24, 10 hit points, and hardness 5. The powers of each stone vary depending on its color and shape (see the table).  Ioun Stones Color        Shape        Effect        Market Price Clear        Spindle        Sustains creature without food or water        4,000 gp Dusty rose        Prism        +1 insight bonus to AC        5,000 gp Deep red        Sphere        +2 enhancement bonus to Dexterity        8,000 gp Incandescent blue        Sphere        +2 enhancement bonus to Wisdom        8,000 gp Pale blue        Rhomboid        +2 enhancement bonus to Strength        8,000 gp Pink        Rhomboid        +2 enhancement bonus to Constitution        8,000 gp Pink and green        Sphere        +2 enhancement bonus to Charisma        8,000 gp Scarlet and blue        Sphere        +2 enhancement bonus to Intelligence        8,000 gp Dark blue        Rhomboid        Alertness (as the feat)        10,000 gp Iridescent        Spindle        Sustains creature without air        18,000 gp Pale lavender        Ellipsoid        Absorbs spells of 4th level or lower*        20,000 gp Pearly white        Spindle        Regenerate 1 point of damage per 10 minutes        20,000 gp Pale green        Prism        +1 competence bonus on attack rolls, saves, skill checks, and ability checks        30,000 gp Orange        Prism        +1 caster level        30,000 gp Vibrant purple        Prism        Stores three levels of spells, as a ring of spell storing        36,000 gp Lavender and green        Ellipsoid        Absorbs spells of 8th level or lower**        40,000 gp *After absorbing 20 spell levels, the stone burns out and turns to dull gray, forever useless. **After absorbing 50 spell levels, the stone burns out and turns dull gray, forever useless. Regeneration from the pearly white ioun stone works like a ring of regeneration. It only cures damage taken while the character is using the stone. The pale lavender and lavender-and-green stones work like a rod of absorption, but absorbing a spell requires a readied action, and these stones cannot be used to empower spells. Stored spells in the vibrant purple stone must be placed by a spellcaster but can be used by anyone (see ring of minor spell storing).	Craft Wondrous Item, creator must be 12th level; Cost half the market price
Iron Bands of Binding	strong evocation	13th	-	26,000 gp	1 lb	This potent item appears to be a 3-inch-diameter rusty iron sphere with bandings on the globe.  When the proper command word is spoken and the spherical iron device is hurled at an opponent, the bands expand and then contract to bind the target creature on a successful ranged touch attack. A single Large or smaller creature can be captured thus and held immobile (as if pinned) until the command word is spoken to bring the bands into spherical form again. The creature can break (and destroy) the bands with a DC 30 Strength check or escape them with a DC 30 combat maneuver check or Escape Artist check. Iron bands of binding are usable once per day.	Craft Wondrous Item, grasping hand; Cost 13,000 gp
Iron Flask	strong conjuration	20th	-	170,000 gp (empty)	1 lb	These special containers are typically inlaid with runes of silver and stoppered by a brass plug bearing a seal engraved with sigils, glyphs, and special symbols. When the user speaks the command word, he can force any creature from another plane into the container, provided that creature fails a DC 19 Will save. The range of this effect is 60 feet. Only one creature at a time can be so contained. Loosing the stopper frees the captured creature.  The command word can be used only once per day.  If the individual freeing the captured creature speaks the command word, the creature can be forced to serve for 1 hour. If freed without the command word, the creature acts according to its natural inclinations. (It usually attacks the user, unless it perceives a good reason not to.) Any attempt to force the same creature into the flask a second time provides it a +2 bonus on its saving throw and makes it hostile. A newly discovered bottle might contain any of the following:  d%        Contents 01–50        Empty 51–54        Large air elemental 55–58        Invisible stalker 59–62        Large earth elemental 63–66        Xorn 67–70        Large fire elemental 71–74        Salamander 95 75–78        Large water elemental 79–82        Xill 83–85        Yeth hound 86        Demon (shadow) 87        Demon (vrock) 88        Demon (hezrou) 89        Demon (glabrezu) 90        Demon (succubus) 91        Devil (osyluth) 92        Devil (barbazu) 93        Devil (erinyes) 94        Devil (cornugon) 95        Agathion (avoral) 96        Azata (ghaele) 97        Archon (trumpet) 98        Rakshasa 99        Demon (balor) 100        Devil (pit fiend) 	Craft Wondrous Item, trap the soul; Cost 85,000 gp
Lantern of Revealing	faint evocation	5th	-	30,000 gp	2 lbs	This lantern operates as a normal hooded lantern. While it is lit, it also reveals all invisible creatures and objects within 25 feet of it, just like the spellinvisibility purge.	Craft Wondrous Item, invisibility purge; Cost 15,000 gp
Lens of Detection	moderate divination	9th	eyes	3,500 gp	1 lb	This circular prism lets its user detect minute details, granting a +5 competence bonus on Perception checks. It also aids in tracking, adding a +5 competence bonus on Survival checks when tracking. The lens is about 6 inches in diameter and set in a frame with a handle.	Craft Wondrous Item, true seeing; Cost 1,750 gp
Lyre of Building	moderate transmutation	6th	-	13,000 gp	5 lbs	This magical instrument is usually made of gold and inlaid with numerous gems. If the proper chords are struck, a single use of this lyre negates any attacks made against inanimate construction (walls, roof, floor, and so on) within 300 feet. This includes the effects of a horn of blasting, a disintegrate spell, or an attack from a ram or similar siege weapon. The lyre can be used in this way once per day, with the protection lasting for 30 minutes.  The lyre is also useful with respect to building. Once a week, its strings can be strummed so as to produce chords that magically construct buildings, mines, tunnels, ditches, etc. The effect produced in 30 minutes of playing is equal to the work of 100 humans laboring for 3 days. Each hour after the first, a character playing the lyre must make a DC 18 Perform (string instruments) check. If it fails, she must stop and cannot play the lyre again for this purpose until a week has passed.	Craft Wondrous Item, fabricate; Cost 6,500 gp
Mantle of Faith	strong abjuration [good]	20th	chest	76,000 gp	-	This holy garment, worn over normal clothing, grants damage reduction 5/evil to the character wearing it.	Craft Wondrous Item, stoneskin; Cost 38,000 gp
Mantle of Spell Resistance	moderate abjuration	9th	chest	90,000 gp	-	This garment, worn over normal clothing or armor, grants the wearer spell resistance 21.	Craft Wondrous Item, spell resistance; Cost 45,000 gp
Manual of Bodily Health	strong evocation (if miracle is used)	17th	-	27,500 gp (+1), 55,000 gp (+2), 82,500 gp (+3), 110,000 gp (+4), 137,500 gp (+5)	5 lbs	This thick tome contains tips on health and fitness, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Constitution score. Once the book is read, the magic disappears from the pages and it becomes a normal book.	Craft Wondrous Item, wish or miracle; Cost 26,250 gp (+1), 52,500 gp (+2), 78,750 gp (+3), 105,000 gp (+4), 131,250 gp (+5)
Manual of Gainfil Exercise	strong evocation (if miracle is used)	17th	-	27,500 gp (+1), 55,000 gp (+2), 82,500 gp (+3), 110,000 gp (+4), 137,500 gp (+5)	5 lbs	This thick tome contains exercise descriptions and diet suggestions, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, she gains an inherent bonus from +1 to +5 (depending on the type of manual) to her Strength score. Once the book is read, the magic disappears from the pages and it becomes a normal book.	Craft Wondrous Item, wish or miracle; Cost 26,250 gp (+1), 52,500 gp (+2), 78,750 gp (+3), 105,000 gp (+4), 131,250 gp (+5)
Manual of Quickness of Action	strong evocation (if miracle is used)	17th	-	27,500 gp (+1), 55,000 gp (+2), 82,500 gp (+3), 110,000 gp (+4), 137,500 gp (+5)	5 lbs	This thick tome contains tips on coordination exercises and balance, but entwined within the words is a powerful magical effect. If anyone reads this book, which takes a total of 48 hours over a minimum of 6 days, he gains an inherent bonus from +1 to +5 (depending on the type of manual) to his Dexterity score. Once the book is read, the magic disappears from the pages and it becomes a normal book.	Craft Wondrous Item, wish or miracle; Cost 26,250 gp (+1), 52,500 gp (+2), 78,750 gp (+3), 105,000 gp (+4), 131,250 gp (+5)
Marvelous Pigments	strong conjuration	15th	-	4,000 gp	-	These pigments enable their possessor to create actual, permanent objects simply by depicting their form in two dimensions. The pigments are applied by a stick tipped with bristles, hair, or fur. The emulsion flows from the application to form the desired object as the artist concentrates on the image. One pot of marvelous pigments is sufficient to create a 1,000-cubic-foot object by depicting it two-dimensionally over a 100-square-foot surface.  Only normal, inanimate objects can be created. Creatures can't be created. The pigments must be applied to a surface. It takes 10 minutes and a DC 15 Craft (painting) check to depict an object with the pigments. Marvelous pigments cannot create magic items. Objects of value depicted by the pigments—precious metals, gems, jewelry, ivory, and so on—appear to be valuable but are really made of tin, lead, glass, brass, bone, and other such inexpensive materials. The user can create normal weapons, armor, and any other mundane item (including foodstuffs) whose value does not exceed 2,000 gp. The effect is instantaneous.	Craft Wondrous Item, major creation; Cost 2,000 gp
Mask of the Skull	strong necromancy and transmutation	13th	head 	22,000 gp	3 lbs	This fearsome-looking mask of ivory, beaten copper, or pale wood is typically fashioned into the likeness of a human skull with a missing lower jaw, allowing the bottom half of the wearer's face to remain visible when the mask is worn.  Once per day, after it has been worn for at least 1 hour, the mask can be loosed to fly from the wearer's face. It travels up to 50 feet away from the wearer and attacks a target assigned to it. The grinning skull mask makes a touch attack against the target based on the wearer's base attack bonus. If the attack succeeds, the target must make a DC 20 Fortitude save or take 130 points of damage, as if affected by a finger of death spell. If the target succeeds on his saving throw, he nevertheless takes 3d6+13 points of damage. After attacking (whether successful or not), the mask flies back to its user. The mask has AC 16, 10 hit points, and hardness 6.	Craft Wondrous Item, animate objects, finger of death, fly; Cost 11,000 gp
Mattock of the Titans	strong transmutation	16th	-	23,348 gp	120 lbs	This digging tool is 10 feet long. Any creature of at least Huge size can use it to loosen or tumble earth or earthen ramparts (a 10-foot cube every 10 minutes). It also smashes rock (a 10-foot cube per hour). If used as a weapon, it is the equivalent of a Gargantuan +3 adamantine warhammer, dealing 4d6 points of base damage.	Craft Wondrous Item, Craft Magic Arms and Armor, move earth; Cost 13,348 gp
Maul of the Titans	strong evocation	15th	-	25,305 gp	160 lbs.	This mallet is 8 feet long. If used as a weapon, it is the equivalent of a +3 greatclub and deals triple damage against inanimate objects. The wielder must have a Strength of at least 18 to wield it properly. Otherwise, she takes a –4 penalty on attack rolls	Craft Wondrous Item, Craft Magic Arms and Armor, clenched fist; Cost 12,805 gp
Medallion of Thoughts	faint divination	5th	neck	12,000 gp	-	This appears to be a normal pendant disk hung from a neck chain. Usually fashioned from bronze, copper, or silver, the medallion allows the wearer to read the thoughts of others, as with the spell detect thoughts.	Craft Wondrous Item, detect thoughts; Cost 6,000 gp
Mirror of Life Trapping	strong abjuration	17th	-	200,000 gp	50 lbs	This crystal device is usually about 4 feet square and framed in metal or wood. The frame typically depicts dragons, demons, devils, genies, coiling nagas, or other powerful creatures that are well known for their magical powers. It can be hung or placed on a surface and then activated by giving a command word. The same command word deactivates the mirror. A mirror of life trapping has 15 extradimensional compartments within it. Any creature coming within 30 feet of the device and looking at its own reflection must make a DC 23 Will save or be trapped within the mirror in one of the cells. A creature not aware of the nature of the device always sees its own reflection. The probability of a creature seeing its reflection, and thus needing to make the saving throw, drops to 50% if the creature is aware that the mirror traps life and seeks to avoid looking at it (treat as a gaze attack).  When a creature is trapped, it is taken bodily into the mirror. Size is not a factor, but constructs and undead are not trapped, nor are inanimate objects and other nonliving matter. A victim's equipment (including clothing and anything being carried) remains behind. If the mirror's owner knows the right command word, he can call the reflection of any creature trapped within to its surface and engage his powerless prisoner in conversation. Another command word frees the trapped creature. Each pair of command words is specific to each prisoner.  If the mirror's capacity is exceeded, one victim (determined randomly) is set free in order to accommodate the latest one. If the mirror is destroyed (Hardness 1, 5 hit points), all victims currently trapped in it are freed.	Craft Wondrous Item, imprisonment; Cost 100,000 gp
Mirror of Opposition	strong necromancy	15th	-	92,000 gp	15 lbs	This item resembles a normal mirror about 4 feet long and 3 feet wide. It can be hung or placed on a surface and then activated by speaking a command word. The same command word deactivates the mirror. If a creature sees its reflection in the mirror's surface, an exact duplicate of that creature comes into being. This opposite immediately attacks the original. The duplicate has all the possessions and powers of its original (including magic). Upon the defeat or destruction of either the duplicate or the original, the duplicate and its items disappear completely. The mirror functions up to four times per day. Destroying the mirror (Hardness 1, 5 hit points) causes all of the duplicates to immediately vanish	Craft Wondrous Item, clone; Cost 46,000 gp
Necklace of Adaptation 	moderate transmutation	7th	neck	9,000 gp	1 lb	This necklace is a heavy chain with a platinum medallion. The magic of the necklace wraps the wearer in a shell of fresh air, making him immune to all harmful vapors and gases (such as cloudkill and stinking cloud effects, as well as inhaled poisons) and allowing him to breathe, even underwater or in a vacuum.	Craft Wondrous Item, alter self; Cost 4,500 gp
Necklace of Fireballs	moderate evocation	10th	neck (does not take up slot)	1,650 gp (type I), 2,700 gp (type II), 4,350 gp (type III), 5,400 gp (type IV), 5,850 gp (type V), 8,100 gp (type VI), 8,700 gp (type VII)	1 lb	This item appears to be a string of beads, sometimes with the ends tied together to form a necklace. (It does not count as an item worn around the neck for the purpose of determining which of a character's worn magic items is effective.) If a character holds it, however, all can see the strand as it really is—a golden chain from which hang a number of golden spheres. The spheres are detachable by the wearer (and only by the wearer), who can easily hurl one of them up to 70 feet. When a sphere arrives at the end of its trajectory, it detonates as a fireball spell (Reflex DC 14 half).  Spheres come in different strengths, ranging from those that deal 2d6 points of fire damage to those that deal 10d6. The market price of a sphere is 150 gp for each die of damage it deals.  Necklace of Fireballs Necklace        10d6        9d6        8d6        7d6        6d6        5d6        4d6        3d6        2d6        Market Price Type I        —        —        —        —        —        1        —        2        —        1,650 gp Type II        —        —        —        —        1        —        2        —        2        2,700 gp Type III        —        —        —        1        —        2        —        4        —        4,350 gp Type IV        —        —        1        —        2        —        2        —        4        5,400 gp Type V        —        1        —        2        —        2        —        2        —        5,850 gp Type VI        1        —        2        —        2        —        4        —        —        8,100 gp Type VII        1        2        —        2        —        2        —        2        —        8,700 gp Each necklace of fireballs contains a combination of spheres of various strengths. Some traditional combinations, designated types I through VII, are detailed above.  If the necklace is being worn or carried by a character who fails her saving throw against a magical fire attack, the item must make a saving throw as well (with a save bonus of +7). If the necklace fails to save, all its remaining spheres detonate simultaneously, often with regrettable consequences for the wearer	Craft Wondrous Item, fireball; Cost 825 gp (type I), 1,350 gp (type II), 2,175 gp (type III), 2,700 gp (type IV), 2,925 gp (type V), 4,050 gp (type VI), 4,350 gp (type VII)
Orb of Storms	strong varied	18th	-	48,000 gp	6 lbs	This glass sphere is 8 inches in diameter. The possessor can call forth all manner of weather, even supernaturally destructive storms. Once per day, she can call upon the orb to use a control weather spell. Once per month, she can conjure a storm of vengeance. The possessor of the orb is continually protected by an endure elements effect.	Craft Wondrous Item, control weather, endure elements, storm of vengeance; Cost 24,000 gp
Pearl of Power	strong transmutation	17th	-	1,000 gp (1st), 4,000 gp (2nd), 9,000 gp (3rd), 16,000 gp (4th), 25,000 gp (5th), 36,000 gp (6th), 49,000 gp (7th), 64,000 gp (8th), 81,000 gp (9th), 70,000 gp (two spells)	-	This seemingly normal pearl of average size and luster is a potent aid to all spellcasters who prepare spells (clerics, druids, rangers, paladins, and wizards). Once per day on command, a pearl of power enables the possessor to recall any one spell that she had prepared and then cast that day. The spell is then prepared again, just as if it had not been cast. The spell must be of a particular level, depending on the pearl. Different pearls exist for recalling one spell per day of each level from 1st through 9th and for the recall of two spells per day (each of a different level, 6th or lower)	Craft Wondrous Item, creator must be able to cast spells of the spell level to be recalled; Cost 500 gp (1st), 2,000 gp (2nd), 4,500 gp (3rd), 8,000 gp (4th), 12,500 gp (5th), 18,000 gp (6th), 24,500 gp (7th), 32,000 gp (8th), 40,500 gp (9th), 35,000 gp (two spells)
Pearl of the Sirines	moderate abjuration and transmutation	8th	none	15,300 gp	-	This pearl is worth at least 1,000 gp for its beauty alone, yet if it is clasped firmly in hand or held to the breast while the possessor attempts actions related to the pearl's powers, she understands and is able to employ the item.  The pearl enables its possessor to breathe in water as if she were in clean, fresh air. Her swim speed is 60 feet, and she can cast spells and act underwater without hindrance.	Craft Wondrous Item, freedom of movement, water breathing; Cost 8,150 gp
Periapt of Health	faint conjuration	5th	neck	7,500 gp	-	The wearer of this blue gem on a silver chain (worn on the neck) is immune to disease, including supernatural diseases.	Craft Wondrous Item, remove disease; Cost 3,750 gp
Periapt of Proof Against Poison	faint conjuration	5th	neck	27,000 gp	-	This item is a brilliant-cut black gem on a delicate silver chain meant to be worn about the neck. The wearer is immune to poison, although poisons active when the periapt is first donned still run their course	Craft Wondrous Item, neutralize poison; Cost 13,500 gp
Periapt of Wound Closure	moderate conjuration	10th	neck	15,000 gp	-	This stone is bright red and dangles on a gold chain meant to be worn on the neck. The wearer of this periapt automatically becomes stable if his hit points drop below 0 (but not if the damage is enough to kill the wearer). The periapt doubles the wearer's normal rate of healing or allows normal healing of wounds that would not do so normally. Hit point damage caused by bleeding is negated for the wearer of the periapt, but he is still susceptible to damage from bleeding that causes ability damage or drain	Craft Wondrous Item, heal; Cost 7,500 gp
Phylactery of Faithfulness	faint divination	1st	headband	1,000 gp	-	This item is a tiny box containing religious scripture. The box is affixed to a leather cord and tied around the forehead, worn so that the box sits upon the wearer's brow. There is no mundane way to determine what function this religious item performs until it is worn. The wearer of a phylactery of faithfulnessis aware of any action or item that could adversely affect his alignment and his standing with his deity, including magical effects. He acquires this information prior to performing such an action or becoming associated with such an item if he takes a moment to contemplate the act.	Craft Wondrous Item, detect chaos, detect evil, detect good, detect law; Cost 500 gp
Phylactery of Negative Channeling	moderate necromancy [evil]	10th	headband	11,000 gp	-	This item is a boon to any character able to channel negative energy, increasing the amount of damage dealt to living creatures by +2d6. This also increases the amount of damage healed by undead creatures	Craft Wondrous Item, creator must be a 10th-level cleric; Cost 5,500 gp
Phylactery of Positive Channeling	moderate necromancy [good]	10th	headband	11,000 gp	-	This item allows channelers of positive energy to increase the amount of damage dealt to undead creatures by +2d6. This also increases the amount of damage healed by living creatures.	Craft Wondrous Item, creator must be a 10th-level cleric; Cost 5,500 gp
Pipes of Haunting	faint necromancy	4th	-	6,000 gp	3 lbs	This magic item appears to be a small set of pan pipes. When played by a person who succeeds on a DC 15 Perform (wind instruments) check, the pipes create an eerie, spellbinding tune. Those within 30 feet who hear the tune must succeed on a DC 13 Will save or become frightened for 4 rounds. Creatures with 6 or more Hit Dice are unaffected. Pipes of haunting can be sounded twice a day	Craft Wondrous Item, scare; Cost 3,000 gp
Pipes of the Sewers	faint conjuration	2nd	-	1,150 gp	3 lbs	If the possessor learns the proper tune, he can use these pipes to attract 1d3 rat swarms if rats are within 400 feet. For each 50-foot distance the rats have to travel, there is a 1-round delay. The piper must continue playing until the rats appear, and when they do so, the piper must make a DC 10 Perform (wind instruments) check. Success means that they obey the piper's telepathic commands so long as he continues to play. Failure indicates that they turn on the piper. If for any reason the piper ceases playing, the rats leave immediately. The Perform DC increases by +5 for each time the rats have been successfully called in a 24-hour period.  If the rats are under the control of another creature, add the HD of the controller to the Perform check DC. Once control is assumed, another check is required each round to maintain it if the other creature is actively seeking to reassert its control	Craft Wondrous Item, charm animal, summon nature's ally I, wild empathy ability; Cost 575 gp
Pipes of Sounding	faint illusion	2nd	-	1,800 gp	3 lbs	When played by a character who has the Perform (wind instruments) skill, these shiny metallic pan pipes create a variety of sounds. The figment sounds are the equivalent of ghost sound.	Craft Wondrous Item, ghost sound; Cost 900 gp
